Line 6042: 痁 | XHZD: shān (shan1) | CEDICT: ['dian4']
Line 6053: 讪 | XHZD: shǎn (shan3) | CEDICT: ['shan4']
Line 6057: 苫 | XHZD: shàn (shan4) | CEDICT: ['shan1']
Line 6061: 掸 | XHZD: shàn (shan4) | CEDICT: ['dan3']
Line 6099: 鞘 | XHZD: shāo (shao1) | CEDICT: ['qiao4']
Line 6144: 谁 | XHZD: shéi又shuí (sheishui2) | CEDICT: ['shei2']
Line 6157: 糁 | XHZD: shēn (shen1) | CEDICT: ['san3']
Line 6178: 谌 | XHZD: shèn (shen4) | CEDICT: ['chen2']
Line 6222: 酾 | XHZD: shī又shāi (shishai1) | CEDICT: ['shi1']
Line 6223: 嘘 | XHZD: shī (shi1) | CEDICT: ['xu1']
Line 6277: 媞 | XHZD: shì (shi4) | CEDICT: ['ti2']
Line 6292: 殖 | XHZD: shi (shi) | CEDICT: ['zhi2']
Line 6294: 熟 | XHZD: shóu (shou2) | CEDICT: ['shu2']
Line 6351: 隃 | XHZD: shù (shu4) | CEDICT: ['yu2']
Line 6384: 谁 | XHZD: shuí（又） (shui2) | CEDICT: ['shei2']
Line 6427: 漦 | XHZD: sī又chí (sichi2) | CEDICT: ['li2']
Line 6506: 缩 | XHZD: sù (su4) | CEDICT: ['suo1']
Line 6507: 蹜 | XHZD: sù (su4) | CEDICT: ['suo1']
Line 6574: 嗦 | XHZD: suo (suo) | CEDICT: ['suo1']
Line 6602: 遢 | XHZD: ta (ta) | CEDICT: ['ta1']
Line 6603: 台 | XHZD: tāi (tai1) | CEDICT: ['tai2']
Line 6642: 磹 | XHZD: tán (tan2) | CEDICT: ['dian4']
Line 6655: 宕 | XHZD: tàn (tan4) | CEDICT: ['dang4']
Line 6682: 镗 | XHZD: táng (tang2) | CEDICT: ['tang1']
Line 6688: 惝 | XHZD: tǎng（又） (tang3) | CEDICT: ['chang3']
Line 6736: 体 | XHZD: tī (ti1) | CEDICT: ['ti3']
Line 6763: 绨 | XHZD: tì (ti4) | CEDICT: ['ti2']
Line 6764: 俶 | XHZD: tì (ti4) | CEDICT: ['chu4']
Line 6799: 䩄 | XHZD: tiǎn (tian3) | CEDICT: ['mian3']
Line 6859: 梃 | XHZD: tìng (ting4) | CEDICT: ['ting3']
Line 6860: 恫 | XHZD: tōng (tong1) | CEDICT: ['dong4']
Line 6869: 垌 | XHZD: tóng (tong2) | CEDICT: ['dong4']
Line 6873: 洞 | XHZD: tóng (tong2) | CEDICT: ['dong4']
Line 6910: 㻬 | XHZD: tū (tu1) | CEDICT: ['tu2']
