阪,12,右栏第7条,bǎn,二级,0画,"❶见“坂”。
❷用于地名：大～（在日本）。"
坂（△*阪、*岅）,12,右栏第8条,bǎn,二级,7画,山坡，斜坡：～上走丸（形容迅速）。
板（⑤闆）,12,右栏第9条,bǎn,一级,8画,"❶（–子、–儿）成片的较硬的物体：～材|铁～|玻璃～|黑～。
❷演奏民族音乐或戏曲时打节拍的乐器：檀～。引：歌唱的节奏：一～三眼|荒腔走～。
［板眼］民族音乐或戏曲中的节拍。喻：做事的条理。
❸不灵活，少变化：表情太～。
❹露出严肃或不高兴的表情：～起面孔。
❺［老板］1.私营工商业的业主。2.过去对著名戏曲演员的尊称。"
昄,13,左栏第1条,bǎn,三级,8画,用于地名：～大（在江西省德兴）。
版,13,左栏第2条,bǎn,一级,8画,❶用木板或金属等制成供印刷用的东西，上面有文字或图形：木～书|活字～。引：底版，相片的底片：修～。❷印刷物排印的次数：第一～|再～。［出版］书籍报刊等编印发行。❸报纸的一面叫一版：头～头条新闻。❹打土墙用的夹板：～筑。❺户籍。［版图］户籍和地图。转：国家的疆域。
钣（鈑）,13,左栏第3条,bǎn,二级,9画,金属板材：铅～|钢～。
舨,13,左栏第4条,bǎn,无,10画,见“舢”字条“舢板”（shān–）。
办（辦）,13,左栏第5条,bǎn,一级,4画,"❶处理：～公|～事|好，就这么～。引：处分，惩治：重（zhòng）～|首恶者必～。
❷创设：～工厂。
❸置备：～货|～酒席。"
半,13,左栏第6条,bàn,一级,5画,"❶二分之一：十个的一～是五个|～米布|一吨～|分给他一～。
❷在中间：～夜|～途而废。
❸不完全的：～透明|～脱产。"
伴,13,右栏第1条,bàn,一级,7画,❶（–儿）同在一起生活或活动的人（连：–侣）：同～|老～儿|找个～儿学习。❷陪着，伴随：～游|～奏。
拌,13,右栏第2条,bàn,,画,
绊（絆）,13,右栏第3条,bàn,一级,8画,"行走时被别的东西挡住或缠住：～马索|一不留神被石头～倒了。
［羁绊］（jī–）束缚：挣脱封建礼教的～。"
柈,13,右栏第4条,bàn,一级,8画,用工具或手在混合物中反复翻动，使均匀：搅～|～饺子馅儿|～草喂牛。
靽,13,右栏第5条,bàn,三级,14画,驾车时套在牲口后部的皮带。
扮,13,右栏第6条,bàn,一级,7画,化装成（某种人或物）（连：装–）：～老头儿|～演（化装成某种人或物出场表演）。［打扮］1.化装，装饰：～得很漂亮。2.衣着（zhuó）穿戴。
湴,13,右栏第7条,bàn,三级,11画,〈方〉烂泥。
瓣,13,右栏第8条,bàn,一级,19画,❶（–儿）花瓣，组成花冠的各片：梅花五～。❷（–儿）植物的种子、果实或球茎可以分开的小块儿：豆～儿|蒜～儿|橘子～儿。❸（–儿）量词，用于自然分开或破碎后分成的部分等：一～蒜|杯子摔成了好几～儿。
邦（**邦）,14,左栏第1条,bāng,一级,6画,国：友～|盟～。［邦交］国与国之间的正式外交关系：建立～。
帮（幫、*幇、*幚）,14,左栏第2条,bāng,一级,9画,❶辅助（连：–助）：～忙|～手|～凶|我～你做。❷集团，帮会：匪～|青红～。❸（–子、–儿）旁边或周围的部分：船～|鞋～儿|白菜～子。❹量词，群，伙：大～人马。
